Song ID,Metaphor,Interpretation,Source Domain,Target Domain
109,ඔබේ සෙනෙහෙ ගඟ නැත වියැළෙන්නේ,"ඔබේ සෙනෙහස නම් ගංගාව වියලෙන්නේ නැත, සෙනෙහසේ නිමාවක් නැත",සෙනෙහස,ගඟ
110,ගිමන නිවන මහද අරණ තුරුල ඔබ ප්‍රියේ,මගේ වෙහෙස නිවන සෙවනැල්ල ඔබයි,ඔබ,අරණ තුරුල
111,මගේ නිවන මගේ පැල්පතයි,මගේ සිතට විවේකයක් ගෙන දෙන්නේ මගේ ගෙදරයි,පැල්පත,නිවන
112,ඔබේ දෙතොළඟ නා දළු පැහැ ගැහිලා,"නා දළු පාට, ලස්සන, සුමුදු දෙතොල්",දෙතොළේ පාට,නා දළු පැහැ
,මුවතුල ගජමුතු ඇත පිරිලා,ගජමුතු මෙන් දිලිසෙන දත්පෙළ,දත්,ගජමුතු
113,හිනැහෙන විට මුතු දිලිහෙනවා,සිනාසෙන විට දත් පෙළ මුතු මෙන් දිලිසෙනවා,දත්,මුතු
114,"මා හද විමනේ දැල්වෙන පහනේ, සැමදා වේවා ඔබ ආලෝකේ",ඔබ මගේ හදවත දීප්තිමත් කරයි,ඔබ,පහන
115,නා දළු දෙතොල්,"නා දළු මෙන් ලස්සන, සුමුදු දෙතොල්",දෙතොල්,නා දළු දෙතොල්
116,රත්තරන් නෙත්,දිලිසෙන ඇස්  දෙක,නෙත්,රත්තරන් නෙත්
117,නීල දෙනුවන්,"නිල් සහ දීප්තිමත්, දිලිසෙන ඇස්  දෙක",දෙනුවන්,නීල දෙනුවන්
118,ඉඳුනීල නෙතු,දිලිසෙන ඇස්  දෙක,නෙතු,ඉඳුනීල නෙතු
119,කුසුම් ලොවේ රැජිණ ඔබ තමයි,මල් අතුරිනුත් ලස්සනම මල ඔයයි,ඔබ,කුසුම් ලොවේ රැජිණ
,මුව කමළ,මලක් මෙන් ලස්සන මුහුණ,මුව,මුව කමළ
120,සිතුවිලි සයුරක්,සයුරක් මෙන් මගේ සිතුවිලි විශාලයි,සිතුවිලි,සිතුවිලි සයුර
121,"සොයා එන්න ගණඳුර තරු නිවලා, මගේ එළිය අද ඔබ පමණී",ඔහු පිළිසරණ ලෙස හඳුනා ගන්නේ අඳුරය. සඳ අහිමි වූ කල තරු වලින් කවර ඵල ද? අතේ දුරින් සිටින ඔහුගේ ප්‍රේමයේ  සජීවී සංකේතයට වඩා ඒ ගණඳුර ඔහුට ළඟය. අඳුරෙහි සැඟවීම තුළ ඔහු සිය වේදනාව ද සිතුවිලි ද සඟවයි,ඔබ,එළිය
122,නෙතින් ගලනා කඳුළු වැල් ගංගාවෝ,ගංගාවක් මෙන් නොනවත්වා ඇස දෙකෙන් කදුළු වැටෙයි,කඳුළු,කඳුළු වැල් ගංගාවෝ
123,ගල් කැට අතරින් මැණිකක් ඇහිඳීම අසීරුයි,නරක මිනිසුන් අතුරින් හොද මිනිසෙක් තොර ගැනීම අපහසුයි,නරක මිනිසුන්,ගල් කැට
,ගල් කැට අතරින් මැණිකක් ඇහිඳීම අසීරුයි,නරක මිනිසුන් අතුරින් හොද මිනිසෙක් තොර ගැනීම අපහසුයි ,හොද මිනිසා,මැණික
124,මගෙ හදවත් මල තවමත් පිබිදෙනවා,මගේ හදවත නමැති මල තවමත් පිපෙයි,හදවත,මල
125,මා මඳ සුළඟයි,සුළගයි සුවඳයි එකට හමා යන මෙන් අපි දෙදෙනා ගැලපෙයි,මම,මඳ සුළඟ
,ඔබ මුදු සුවඳයි,සුළගයි සුවඳයි එකට හමා යන මෙන් අපි දෙදෙනා ගැලපෙයි,ඔබ,මුදු සුවඳ
126,දිවි කතරේ,කාන්තාරයක් මෙන් දුෂ්කර ජීවිතයේ,දිවිය,කතර
127,නීලහරිත වනසම්පත්,ගස් වලින් පිරුන වනාන්තරය,වනසම්පත,නීලහරිත වනසම්පත්
128,කතර දෙව් ලොවක් වේ,කාන්තාරය මෙන් දුෂ්කර තැනක් වුනත් මට දෙව්ලොව මෙන් සැප දෙන තැනක් වේ,කතර,දෙව් ලොව
129,"මග එළි මවනා තරු කැන් ඔබ වේ, තනි වූ කතර ඉමේ",කාන්තාරයක් මෙන් දුෂ්කර මේ ජීවිතයේ තනිවූ මා හට මග පෙන්වන තරු එළි ඔබයි,ඔබ,තරු කැන්
,මා හදේ හිරුත් ඔබයි මා හදේ සදුත් ඔබයි,ඔබ මගේ හදවත දීප්තිමත් කරයි,ඔබ,"හිරු, සදු"
130,සිහිනයකි ඔබ,ඔබ මට ලබාගත නොහැකි දෙයකි,ඔබ,සිහිනයක්
,ඉරකි ඔබ මට සදකි ඔබ මට,"ඔබ මගේ ජීවිතය දීප්තිමත් කරයි, ඔබ මාව සතුටු  කරවයි",ඔබ,"ඉර, සද"
131,නිල් තණ පලසේ,පිණි බිඳු නිසා පලසක් මෙන් දිලිසෙන තණකොළ,තණ පලස,නිල් තණ පලස
132,නිල්මිණි දෑසට,"නිල් සහ දීප්තිමත්, දිලිසෙන ඇස්  දෙක",දෑස,නිල්මිණි දෑස
133,හදවත විල් දිය චංචල වේ,"හදවත නම් විලේ දිය චංචල වේ, හදවත කම්පා වේ",හදවත,විල
134,ස්නේහයේ නගරයයි සිත මගේ,මගේ සිත ආදරයෙන් පිරී ඇත,සිත,ස්නේහයේ නගරය
,නිල් නුවන්,"නිල් සහ දීප්තිමත්, දිලිසෙන ඇස්  දෙක",නුවන්,නිල් නුවන්
135,නිලුපුල් දෑසේ,"නිල් සහ දීප්තිමත්, දිලිසෙන ඇස්  දෙක",දෑස,නිලුපුල් දෑස
,නිල් දෑසේ,"නිල් සහ දීප්තිමත්, දිලිසෙන ඇස්  දෙක",දෑස,නිල් දෑස
136,ප්‍රේම කුසුම් පිපී හදේ,හදවතේ ප්‍රේමය නම් කුසුම පිපී ඇත,ප්‍රේමය,කුසුම්
137,නිල් දෑසේ,"නිල් සහ දීප්තිමත්, දිලිසෙන ඇස්  දෙක",දෑස,නිල් දෑස
138,වත කමලේ,මලක් මෙන් ලස්සන මුහුණ,වත,කමල
139,වත කමලේ,මලක් මෙන් ලස්සන මුහුණ,වත,කමල
140,"ගී පොතේදී මා ලියූ ශෝක ගීතයේ, උල්පතයි ඔබේ නෙතින් බැලූ බැලුම් ප්‍රියේ",ඔහුගේ දිවිය ශෝක ගීතයක් කරන ලද්දේද ඇයටග් නෙතඟබැලුම්ය. ඇයගේ බැලුම් ඔහුගේ දෙනෙතෙන් කඩා හැළෙන කඳුළෙහි උල්පතයි,නෙත් බැලුම්,ශෝක ගීතයේ උල්පත
141,සුනිල්වන් නුවන් යුග,දිලිසෙන ඇස්  දෙක,නුවන් යුග,සුනිල්වන් නුවන් යුග
142,නෞකාවකි ඔබ ඈත සමුදුරේ,ඔබ ඈත සමුදුරේ පැදයන නෞකාවක් නම් මම ඔබට පාර කියන පහන් ටැඹකි,ඔබ,නෞකාව
,මා පහන් ටැඹයි මෑත ගොඩබිමේ,ඔබ ඈත සමුදුරේ පැදයන නෞකාවක් නම් මම ඔබට පාර කියන පහන් ටැඹකි,මම,පහන් ටැඹ
143,මගෙ ජීවය ගල් ලෙනකී,ගල් ලෙනක් මෙන් අඳුරු මගේ ජීවිතේ ඔබ දීප්තිමත් කරයි,ජීවය,ගල් ලෙන
,පහණ ඔබ තමා,ගල් ලෙනක් මෙන් අඳුරු මගේ ජීවිතේ ඔබ දීප්තිමත් කරයි,ඔබ,පහණ
144,මගෙ ජිවන මල් උයනේ,මගේ ජීවිතය නම් මල් උයනේ පිපුණු ප්‍රේමය නම් මල ඔබයි,ජීවිතය,මල් උයන
,ඔබ වෙයි පිපි පෙම් කුසුමේ ,මගේ ජීවිතය නම් මල් උයනේ පිපුණු ප්‍රේමය නම් මල ඔබයි,ඔබ,පෙම් කුසුම
145,මගේ පුංචි පැල්පතේ පහනමයි ඔයා සඳේ,ඔබ මගේ  පැල්පත සඳ මෙන් දීප්තිමත් කරයි,ඔබ,"පහන, සඳේ"
146,නෙත නිලුපුල්,"නිල් සහ දීප්තිමත්, දිලිසෙන ඇස්  දෙක",නෙත,නිලුපුල් නෙත
,වත රතුපුල්,ලස්සන මුහුණ,වත,රතුපුල් වත
147,"තිමිර එළිය කෙරු මගෙ ලොව දිනිසුරු, තරුපති සහකරු ඔබයි","ඔබ ,සඳු මෙන් මගේ ලෝකය දීප්තිමත් කරයි, ඔබ මාව සතුටු  කරවයි",ඔබ,"උදානය,අමිල නිදානය, ජීවය"
148,නීල වරල,දිලිසෙන කොණ්ඩය,වරල,නීල වරල
149,මිණි පහන ඔබයි කන්ද උඩරටේ,ඔබ කන්දට උඩර දීප්තිමත් කරයි,ඔබ,මිණි පහන
150,නීල නෙතු,"නිල් සහ දීප්තිමත්, දිලිසෙන ඇස්  දෙක",නෙතු,නීල නෙතු
